sel,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
188,Talk,Khalid,pop,2019.00,136.00,40.00,90.00,-8.00,9.00,34.00,197.00,5.00,12.00,64.00
189,Dear August,PJ Harding,australian singer-songwriter,2021.00,147.00,32.00,64.00,-8.00,11.00,44.00,201.00,80.00,3.00,64.00
190,Softly,Clairo,bedroom pop,2019.00,94.00,44.00,76.00,-11.00,10.00,78.00,185.00,33.00,4.00,64.00
191,More Hearts Than Mine,Ingrid Andress,contemporary country,2019.00,79.00,43.00,38.00,-7.00,11.00,36.00,215.00,11.00,3.00,64.00
192,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,pop,2021.00,172.00,69.00,57.00,-6.00,7.00,72.00,193.00,3.00,18.00,64.00
193,It's a Beautiful Day,Michael Bublé,adult standards,2013.00,144.00,80.00,53.00,-4.00,30.00,78.00,199.00,6.00,4.00,64.00
194,Does To Me (feat. Eric Church),Luke Combs,contemporary country,2019.00,113.00,85.00,62.00,-5.00,31.00,64.00,223.00,31.00,4.00,64.00
195,Hurricane,Bridgit Mendler,dance pop,2012.00,95.00,83.00,76.00,-4.00,8.00,45.00,244.00,4.00,7.00,64.00
196,Beautiful Lies,Tanner Usrey,texas country,2019.00,100.00,18.00,62.00,-10.00,11.00,25.00,223.00,89.00,4.00,63.00
197,Amsterdam,Gregory Alan Isakov,indie folk,2013.00,152.00,43.00,55.00,-13.00,12.00,53.00,199.00,92.00,3.00,63.00
198,Wurli,Dominic Fike,alternative pop rock,2020.00,92.00,84.00,48.00,-4.00,13.00,8.00,151.00,39.00,6.00,63.00
199,Silverado For Sale,Morgan Wallen,contemporary country,2021.00,138.00,78.00,59.00,-6.00,12.00,39.00,225.00,17.00,3.00,63.00
200,Grew Apart,Logan Mize,contemporary country,2021.00,89.00,64.00,62.00,-8.00,12.00,59.00,170.00,5.00,8.00,63.00
201,Beer Can’t Fix,Thomas Rhett,contemporary country,2019.00,111.00,77.00,71.00,-4.00,12.00,94.00,210.00,3.00,3.00,63.00
