sel,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
334,C'est la vie,Ethan Surman,,2022.00,80.00,57.00,72.00,-7.00,10.00,46.00,172.00,10.00,11.00,42.00
335,Mexico,The Staves,indie folk,2012.00,132.00,14.00,56.00,-15.00,10.00,20.00,246.00,97.00,3.00,41.00
336,Jet Song,Mike Faist,broadway,2021.00,72.00,35.00,76.00,-13.00,6.00,60.00,131.00,25.00,48.00,40.00
337,Scarlet,Telenova,australian electropop,2022.00,94.00,78.00,72.00,-4.00,10.00,51.00,198.00,0.00,3.00,40.00
338,All I Know About Girls,Old Dominion,contemporary country,2021.00,140.00,50.00,68.00,-8.00,10.00,93.00,163.00,60.00,3.00,40.00
339,Closing Time,Havelin,canadian folk,2016.00,105.00,78.00,53.00,-7.00,18.00,36.00,245.00,4.00,4.00,40.00
340,Right Now,Santana,blues rock,1985.00,129.00,67.00,64.00,-14.00,12.00,67.00,362.00,32.00,4.00,40.00
341,HAZY,Kyle Dion,alternative r&b,2022.00,85.00,56.00,70.00,-6.00,18.00,43.00,169.00,27.00,8.00,39.00
342,Rings of Saturn,Alann8h,canadian contemporary r&b,2021.00,150.00,49.00,52.00,-9.00,54.00,11.00,173.00,34.00,4.00,39.00
343,It Ain't You It's Me,Kane Brown,black americana,2019.00,146.00,68.00,49.00,-6.00,8.00,44.00,191.00,3.00,3.00,39.00
344,suckerz,blackbear,electropop,2016.00,136.00,43.00,59.00,-9.00,11.00,57.00,184.00,29.00,20.00,38.00
345,Time I Love To Waste,MAY-A,australian alternative pop,2021.00,120.00,63.00,64.00,-5.00,33.00,82.00,197.00,2.00,3.00,38.00
346,Far Boy,Leah Marie Mason,country pop,2021.00,77.00,42.00,56.00,-6.00,12.00,38.00,186.00,74.00,3.00,37.00
347,Jaiden,Emblem3,post-teen pop,2020.00,169.00,45.00,34.00,-7.00,16.00,10.00,300.00,32.00,3.00,37.00
348,It's Magic,Fenders,dansktop,2018.00,106.00,78.00,60.00,-3.00,28.00,63.00,186.00,11.00,3.00,35.00
349,Madonna,Juliana Madrid,,2022.00,105.00,76.00,62.00,-6.00,7.00,48.00,192.00,53.00,3.00,35.00
350,High School Dropout,Neon Dreams,canadian pop,2019.00,112.00,90.00,72.00,-4.00,7.00,88.00,185.00,4.00,29.00,35.00
351,Stand Tall,VOILÀ,alt z,2018.00,84.00,34.00,61.00,-8.00,34.00,59.00,217.00,63.00,3.00,35.00
352,Glad To Be Here (feat. Brent Cobb),Hailey Whitters,contemporary country,2021.00,89.00,67.00,63.00,-7.00,11.00,62.00,274.00,5.00,4.00,35.00
353,Ripped Jeans,Devin Kirtz,alt z,2020.00,125.00,52.00,66.00,-7.00,32.00,72.00,206.00,49.00,4.00,34.00
354,Forbidden,Alexa Cappelli,alt z,2020.00,178.00,67.00,55.00,-6.00,18.00,52.00,224.00,17.00,7.00,34.00
355,Miami,Noah Cunane,,2020.00,151.00,22.00,72.00,-9.00,44.00,43.00,179.00,51.00,3.00,33.00
356,Scared of Love,Megan Faria,,2020.00,104.00,26.00,73.00,-12.00,11.00,24.00,284.00,90.00,5.00,32.00
357,This Side Of A Dust Cloud,Morgan Wallen,contemporary country,2021.00,134.00,73.00,65.00,-6.00,16.00,80.00,200.00,14.00,3.00,32.00
358,Talk Like That,TILAR,,2022.00,176.00,85.00,43.00,-6.00,27.00,76.00,236.00,4.00,20.00,32.00
359,Drugs in the Bathroom,Sara Diamond,canadian contemporary r&b,2021.00,98.00,38.00,78.00,-7.00,14.00,64.00,164.00,74.00,5.00,31.00
360,Pretty Places - St. Lucia Remix,Aly & AJ,dance pop,2021.00,128.00,76.00,60.00,-5.00,13.00,26.00,281.00,0.00,3.00,31.00
361,Look at Me Now,Matt Stell,arkansas country,2020.00,118.00,66.00,56.00,-4.00,12.00,25.00,171.00,42.00,3.00,31.00
362,See Through Me,Keara Graves,,2016.00,76.00,52.00,51.00,-7.00,10.00,23.00,198.00,33.00,3.00,30.00
363,Your Love,The Outfield,album rock,2020.00,126.00,87.00,42.00,-5.00,10.00,63.00,205.00,2.00,7.00,30.00
364,Dancers,Virginia Man,indiecoustica,2017.00,64.00,47.00,28.00,-9.00,13.00,19.00,253.00,68.00,4.00,28.00
365,People Change,Londin Thompson,,2020.00,144.00,49.00,44.00,-7.00,34.00,14.00,218.00,35.00,4.00,28.00
366,I Found My Voice,Jeni Ross,,2016.00,120.00,56.00,66.00,-9.00,35.00,39.00,178.00,29.00,4.00,26.00
367,Youthless Youth,Alann8h,canadian contemporary r&b,2021.00,135.00,72.00,66.00,-7.00,40.00,77.00,166.00,16.00,6.00,26.00
368,Say Less,Ethan Surman,,2022.00,120.00,60.00,79.00,-6.00,13.00,60.00,206.00,33.00,13.00,26.00
369,360 al Mundo,Sofía Mora,,2022.00,78.00,48.00,61.00,-10.00,12.00,40.00,179.00,13.00,10.00,25.00
370,My Oh My - Acoustic,James Smith,neo mellow,2021.00,97.00,37.00,51.00,-7.00,14.00,26.00,170.00,76.00,5.00,24.00
371,Everywhere But On - Acoustic,Matt Stell,arkansas country,2020.00,75.00,73.00,44.00,-5.00,11.00,64.00,193.00,57.00,3.00,24.00
372,Out of Season,Dylan Rockoff,chill r&b,2020.00,164.00,24.00,53.00,-13.00,9.00,57.00,194.00,63.00,4.00,23.00
373,See You in Austin,Dakota Striplin,australian talent show,2020.00,155.00,41.00,34.00,-8.00,11.00,42.00,201.00,35.00,4.00,23.00
374,Lightning Struck Emotions,Alann8h,canadian contemporary r&b,2020.00,90.00,33.00,67.00,-9.00,37.00,40.00,223.00,87.00,7.00,22.00
375,Without Me,Halsey,dance pop,2021.00,136.00,49.00,75.00,-7.00,9.00,53.00,202.00,29.00,7.00,22.00
376,1800-Flip-Phone,Alann8h,canadian contemporary r&b,2018.00,106.00,31.00,84.00,-24.00,22.00,8.00,128.00,86.00,26.00,21.00
377,"In Time, She's Mine",Sam and Sounds,,2020.00,100.00,57.00,57.00,-9.00,87.00,54.00,176.00,3.00,5.00,20.00
378,Hall of Fame,Gabby Barrett,contemporary country,2020.00,78.00,65.00,51.00,-4.00,9.00,18.00,201.00,18.00,4.00,14.00
379,Famous,Jordan Mitchell,,2020.00,83.00,40.00,76.00,-7.00,11.00,43.00,142.00,5.00,40.00,13.00
380,We Are Beautiful,Lost & Found Music Studios,,2016.00,102.00,69.00,50.00,-10.00,12.00,56.00,243.00,4.00,3.00,13.00
381,Till Summer Comes Around,Hit Co. Masters,,2012.00,128.00,52.00,61.00,-10.00,7.00,22.00,236.00,26.00,3.00,10.00
382,Burgerking Bathroom,Alann8h,canadian contemporary r&b,2021.00,79.00,23.00,56.00,-11.00,10.00,42.00,143.00,85.00,4.00,7.00
383,Original - Acoustic,Lost & Found Music Studios,,2017.00,88.00,42.00,61.00,-11.00,10.00,52.00,192.00,28.00,7.00,4.00
384,Good Time,Owl City,indietronica,2021.00,126.00,90.00,57.00,-4.00,42.00,63.00,206.00,3.00,15.00,0.00
